"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa05415","Diabetic cardiomyopathy",94,0.347669131467733,1.72791819043479,0.00139037109943321,0.00516668766579502,0.00314391905524859,790,"tags=21%, list=13%, signal=19%","5166/5293/489/4313/5579/7048/5880/1535/5330/4689/1536/4688/1281/1277/1278/6300/948/7040/1509/5600"
"hsa04020","Calcium signaling pathway",75,0.368355797685157,1.77540666617498,0.00152522385900677,0.00559868758001264,0.00340679013436685,983,"tags=37%, list=16%, signal=32%","7852/489/5579/5330/113/5724/2185/57118/3708/3709/4638/7942/3710/8912/57192/4773/3707/109/8877/154/2324/5335/493/5159/5336/5154/6546/196883"
"hsa05130","Pathogenic Escherichia coli infection",88,0.353058366388105,1.73480182233454,0.00186281129636334,0.00675549638801645,0.00411070596787852,1282,"tags=36%, list=21%, signal=29%","27128/64005/7456/7122/4542/2534/3059/2353/4792/9181/3071/6300/29108/9138/5777/7132/5600/2212/4643/10163/4615/8440/60/24146/9265/23118/382/3725/84617/8795/837/10109"
"hsa04974","Protein digestion and absorption",36,0.461892742005928,1.85176714239435,0.00194061212862119,0.00695386012755926,0.00423140990451236,1147,"tags=53%, list=19%, signal=43%","2006/1281/1293/1277/1278/9056/1292/1291/1307/206358/1290/1303/85301/1284/6546/80781/1289/10008/1282"
"hsa04713","Circadian entrainment",36,0.452692069738816,1.81488086763241,0.00259351174383136,0.00918408276344987,0.00558849589382856,983,"tags=42%, list=16%, signal=35%","5579/5330/113/2353/3708/54331/3710/59345/8912/109/5187/2791/5592/2982/196883"
"hsa04970","Salivary secretion",32,0.476144032227687,1.86064175524016,0.00276213877192284,0.00966748570172996,0.00588264560972552,1064,"tags=47%, list=18%, signal=39%","4069/5579/5330/3778/113/3708/3709/3710/109/154/493/5592/2982/196883/1471"
"hsa03420","Nucleotide excision repair",26,-0.497055040428485,-1.86125035540638,0.00323760173078678,0.0112013577122623,0.00681600364376165,1477,"tags=50%, list=24%, signal=38%","5441/7507/5440/4331/5981/5111/404672/10714/1022/5433/5983/2967/5985"
"hsa04750","Inflammatory mediator regulation of TRP channels",41,0.42434443336134,1.75486902645998,0.00379404639397919,0.0127345777257181,0.00774896493888773,827,"tags=37%, list=14%, signal=32%","5293/5579/5734/5330/113/3708/3709/3710/6300/109/8605/51393/5600/5335/5336"
"hsa04010","MAPK signaling pathway",124,0.313216085893965,1.64652220672377,0.0038076810475569,0.0127345777257181,0.00774896493888773,1218,"tags=35%, list=20%, signal=29%","10235/929/5579/7048/1436/1844/5880/5778/11184/2353/1435/2323/4616/1847/409/8912/6300/1647/7040/2316/8605/25780/7132/2324/5600/5159/5971/4791/9448/5154/4615/1843/4296/5598/6789/23118/5606/3725/9064/3164/2005/7786/9261/7043"
"hsa05132","Salmonella infection",114,0.307617045514062,1.59017981965462,0.00375000280389363,0.0127345777257181,0.00774896493888773,1387,"tags=35%, list=23%, signal=28%","5293/929/27128/197259/2353/302/4792/7097/6932/3071/6281/10398/51176/6300/29108/2316/5294/7132/83439/5600/9844/23207/4615/60/1785/9265/23118/5606/382/3725/5287/84617/8795/6934/837/10109/596/55823/5594/4074"
