Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000167642,SPINT2,Gene Expression,0.5066138040294924,0.0,0.0,87500,39.175028855703985,1559
ENSG00000211592,IGKC,Gene Expression,0.5064108834599601,0.0,0.0,18949,25.02712706389374,1017
ENSG00000134202,GSTM3,Gene Expression,0.5062678148152423,0.0,0.0,1923,0.7676213902316189,496
ENSG00000108679,LGALS3BP,Gene Expression,0.5052984145146154,0.0,0.0,272416,125.59288504554549,1639
ENSG00000091831,ESR1,Gene Expression,0.5040489168541263,0.0,0.0,58674,27.39407730835388,1526
ENSG00000119547,ONECUT2,Gene Expression,0.5039444889570831,0.0,0.0,19554,9.096499634495393,1358
ENSG00000163993,S100P,Gene Expression,0.5036436201011624,0.0,0.0,50284,23.558558534518202,1499
ENSG00000070081,NUCB2,Gene Expression,0.5034655933018568,0.0,0.0,17767,6.9347137882916146,1268
ENSG00000118733,OLFM3,Gene Expression,0.5030152890940076,0.0,0.0,19607,8.307372513442132,1336
ENSG00000101210,EEF1A2,Gene Expression,0.5026355590616407,0.0,0.0,19838,9.008558747584095,1353
ENSG00000002834,LASP1,Gene Expression,0.5009912325917665,0.0,0.0,257088,114.70199809345357,1622
ENSG00000169738,DCXR,Gene Expression,0.5007525281831486,0.0,0.0,41707,19.25576295643624,1490
ENSG00000141543,EIF4A3,Gene Expression,0.5006589859140753,0.0,0.0,59269,26.114276572246172,1512
ENSG00000026025,VIM,Gene Expression,0.5006261277701712,0.0,0.0,34897,38.86862735920359,1622
ENSG00000277972,CISD3,Gene Expression,0.498397542001768,0.0,0.0,40153,18.347895794969588,1472
ENSG00000169710,FASN,Gene Expression,0.4983960420874387,0.0,0.0,79214,34.95427559601117,1530
ENSG00000108639,SYNGR2,Gene Expression,0.4980182449941552,0.0,0.0,259862,116.47812700319768,1636
ENSG00000249242,TMEM150C,Gene Expression,0.49772618785159606,0.0,0.0,13431,5.4873272190669224,1230
ENSG00000111052,LIN7A,Gene Expression,0.49746066408055556,0.0,0.0,20826,9.001264652084108,1358
ENSG00000144451,SPAG16,Gene Expression,0.4943777167415086,0.0,0.0,11919,5.256904239976428,1255
ENSG00000142871,CCN1,Gene Expression,0.4943463646247514,0.0,0.0,7112,11.13530316308503,1420
ENSG00000221869,CEBPD,Gene Expression,0.49356241167782755,0.0,0.0,5721,9.800526661795967,1348
ENSG00000134824,FADS2,Gene Expression,0.49344701196920565,0.0,0.0,7519,3.347195964816366,1040
ENSG00000161055,SCGB3A1,Gene Expression,0.4931754369937852,0.0,0.0,5354,2.3738736910778684,971
ENSG00000158321,AUTS2,Gene Expression,0.49302091757696376,0.0,0.0,45137,19.809599238392533,1487
ENSG00000141741,MIEN1,Gene Expression,0.4926206549385091,0.0,0.0,83384,38.29032919420444,1551
ENSG00000172057,ORMDL3,Gene Expression,0.49183354669584345,0.0,0.0,93518,43.06538531570841,1570
ENSG00000164919,COX6C,Gene Expression,0.4914636170326775,0.0,0.0,25460,10.017260775963074,1357
ENSG00000135373,EHF,Gene Expression,0.4909486805221295,0.0,0.0,7502,3.4792448339812045,1094
ENSG00000087245,MMP2,Gene Expression,0.4895486985582953,0.0,0.0,3835,6.387920996036398,1154
ENSG00000104368,PLAT,Gene Expression,0.4883220829060585,0.0,0.0,55043,24.725365603938393,1502
ENSG00000198712,MT-CO2,Gene Expression,0.4879414290403158,0.0,0.0,533844,243.76711569112763,1653
ENSG00000150667,FSIP1,Gene Expression,0.487597672628537,0.0,0.0,26411,10.966917220494595,1360
ENSG00000198886,MT-ND4,Gene Expression,0.48687388891600164,0.0,0.0,630742,293.0709165551835,1653
ENSG00000121316,PLBD1,Gene Expression,0.4868395208710033,0.0,0.0,21305,9.698470040400663,1391
ENSG00000227234,SPANXB1,Gene Expression,0.4866162053079651,0.0,0.0,1285,0.49630459078216055,398
ENSG00000204710,SPDYC,Gene Expression,0.4863108516072117,0.0,0.0,1240,0.531857044880977,365
ENSG00000241484,ARHGAP8,Gene Expression,0.48484481248568634,0.0,0.0,53674,23.710520089249435,1477
ENSG00000205189,ZBTB10,Gene Expression,0.48367568797977273,0.0,0.0,11475,4.722567058016928,1229
ENSG00000182704,TSKU,Gene Expression,0.48275790501446664,0.0,0.0,48078,21.742769188186415,1484
ENSG00000087191,PSMC5,Gene Expression,0.4826832785767371,0.0,0.0,59305,27.05785935396482,1536
ENSG00000164924,YWHAZ,Gene Expression,0.48249829184754744,0.0,0.0,37970,16.022121197965628,1450
ENSG00000084444,FAM234B,Gene Expression,0.4823566448483571,0.0,0.0,24780,10.613908174877631,1367
ENSG00000108344,PSMD3,Gene Expression,0.48196939606142086,0.0,0.0,138506,63.63397909341871,1607
ENSG00000239672,NME1,Gene Expression,0.481350861990461,0.0,0.0,46255,21.294389536558416,1497
ENSG00000162992,NEUROD1,Gene Expression,0.4812428789136617,0.0,0.0,3227,1.2870694760537775,817
ENSG00000002726,AOC1,Gene Expression,0.48053377666280234,0.0,0.0,14233,6.3461773827170225,1280
ENSG00000008394,MGST1,Gene Expression,0.48003686535577494,0.0,0.0,24646,10.63868190787934,1374
ENSG00000181649,PHLDA2,Gene Expression,0.47911173425904746,0.0,0.0,21086,10.187199410106166,1370
ENSG00000143375,CGN,Gene Expression,0.47680819425103316,0.0,0.0,31262,13.896712136502693,1417
ENSG00000129514,FOXA1,Gene Expression,0.4767127004668193,0.0,0.0,52450,24.416751272221507,1498
ENSG00000164692,COL1A2,Gene Expression,0.47625043919887616,0.0,0.0,72646,73.11761347248202,1621
ENSG00000039068,CDH1,Gene Expression,0.4752666173007269,0.0,0.0,28026,12.251501277965373,1406
ENSG00000005249,PRKAR2B,Gene Expression,0.47425742408137483,0.0,0.0,7278,3.0580458869250173,1078
ENSG00000204103,MAFB,Gene Expression,0.47318921393305163,0.0,0.0,7602,10.70654959982143,1430
ENSG00000100219,XBP1,Gene Expression,0.47301909007388276,0.0,0.0,61893,27.44327346606631,1530
ENSG00000198899,MT-ATP6,Gene Expression,0.4727275801667947,0.0,0.0,455660,211.77446826607044,1653
ENSG00000170421,KRT8,Gene Expression,0.4725594599125951,0.0,0.0,82529,37.660530727173274,1546
ENSG00000206053,JPT2,Gene Expression,0.4725512834758344,0.0,0.0,27571,12.631664181862295,1436
ENSG00000168672,LRATD2,Gene Expression,0.4723108275018062,0.0,0.0,43103,18.70153076023906,1458
ENSG00000181523,SGSH,Gene Expression,0.4720105596114944,0.0,0.0,111442,51.02660730246172,1590
ENSG00000104522,TSTA3,Gene Expression,0.4701832543259648,0.0,0.0,40969,18.604179118158694,1481
ENSG00000198650,TAT,Gene Expression,0.46867305765263334,0.0,0.0,1182,0.5583283100387777,296
ENSG00000073605,GSDMB,Gene Expression,0.4678217853317805,0.0,0.0,34323,14.759650655549782,1435
ENSG00000243678,NME2,Gene Expression,0.4673156501082272,0.0,0.0,47068,20.645835621765055,1481
ENSG00000008283,CYB561,Gene Expression,0.4662990662094379,0.0,0.0,54742,24.42140402861675,1506
ENSG00000168758,SEMA4C,Gene Expression,0.464991547533122,0.0,0.0,52436,23.36809625624533,1503
ENSG00000174469,CNTNAP2,Gene Expression,0.46463540502566153,0.0,0.0,5023,2.2872301058871285,1014
ENSG00000164266,SPINK1,Gene Expression,0.4639487696009664,0.0,0.0,5545,2.482244808661273,981
ENSG00000145423,SFRP2,Gene Expression,0.4638880166925498,0.0,0.0,10398,13.071329618082313,1440
ENSG00000149021,SCGB1A1,Gene Expression,0.46374875685140354,0.0,0.0,559,2.2659018302418144,135
ENSG00000115457,IGFBP2,Gene Expression,0.46350965124295684,0.0,0.0,17278,8.181343486473951,1350
ENSG00000198695,MT-ND6,Gene Expression,0.4631069899604354,0.0,0.0,95743,41.54113814758606,1553
ENSG00000108654,DDX5,Gene Expression,0.4630359164150114,0.0,0.0,245172,102.75178769115065,1619
ENSG00000162004,CCDC78,Gene Expression,0.46272347088585464,0.0,0.0,20267,9.166348184869229,1362
ENSG00000108375,RNF43,Gene Expression,0.4611536966442599,0.0,0.0,28901,12.739965496991934,1411
ENSG00000089685,BIRC5,Gene Expression,0.46087514668672025,0.0,0.0,15532,6.563453301880866,1298
ENSG00000185630,PBX1,Gene Expression,0.4606426731480332,0.0,0.0,32630,15.648511025733129,1479
ENSG00000109436,TBC1D9,Gene Expression,0.46018605614492536,0.0,0.0,29184,13.12342151239293,1439
ENSG00000130202,NECTIN2,Gene Expression,0.4598477631881329,0.0,0.0,34384,15.719131632854571,1474
ENSG00000144476,ACKR3,Gene Expression,0.45905184191767817,0.0,0.0,30392,13.790105879864083,1429
ENSG00000128016,ZFP36,Gene Expression,0.4589629806141119,0.0,0.0,9244,10.740039219831022,1575
ENSG00000166145,SPINT1,Gene Expression,0.4586374877902626,0.0,0.0,36177,16.407793553486325,1465
ENSG00000136944,LMX1B,Gene Expression,0.45845001860816953,0.0,0.0,18323,8.457937414751859,1367
ENSG00000276644,DACH1,Gene Expression,0.4579677378471033,0.0,0.0,31418,14.089397746593404,1432
ENSG00000164796,CSMD3,Gene Expression,0.4569625502019105,0.0,0.0,10500,4.2632860918507545,1207
ENSG00000137203,TFAP2A,Gene Expression,0.4568424790982562,0.0,0.0,20037,9.287269658795818,1381
ENSG00000157601,MX1,Gene Expression,0.45679211225029964,0.0,0.0,14922,9.446978034101635,1450
ENSG00000164754,RAD21,Gene Expression,0.4567602853161651,0.0,0.0,17781,7.612518779535633,1342
ENSG00000163359,COL6A3,Gene Expression,0.45649593118707704,0.0,0.0,17287,18.515547843218574,1544
ENSG00000211896,IGHG1,Gene Expression,0.4559546579553105,0.0,0.0,25365,30.129475364902436,1086
ENSG00000100867,DHRS2,Gene Expression,0.45313149762805466,0.0,0.0,11395,5.199613158524089,1261
ENSG00000142173,COL6A2,Gene Expression,0.45294493875806574,0.0,0.0,43818,42.25189766021499,1627
ENSG00000178695,KCTD12,Gene Expression,0.45214638650069966,0.0,0.0,7364,10.505745698430891,1454
ENSG00000107262,BAG1,Gene Expression,0.45145435774893383,0.0,0.0,121970,57.64012196843465,1602
ENSG00000121966,CXCR4,Gene Expression,0.45142519929830666,0.0,0.0,6103,9.246341940931815,1264
ENSG00000124145,SDC4,Gene Expression,0.45130199741058913,0.0,0.0,43073,19.420659634145867,1479
ENSG00000108176,DNAJC12,Gene Expression,0.4508277200273536,0.0,0.0,11033,4.7039479644768605,1241
ENSG00000121057,AKAP1,Gene Expression,0.4507212139220908,0.0,0.0,47618,20.656545168502277,1475
ENSG00000108349,CASC3,Gene Expression,0.4500572131656509,0.0,0.0,67959,30.045856898621913,1537
ENSG00000114529,C3orf52,Gene Expression,0.44908892983701165,0.0,0.0,13948,5.846268337932459,1286
ENSG00000188895,MSL1,Gene Expression,0.4489858503492688,0.0,0.0,33834,14.879612350089237,1456
ENSG00000134569,LRP4,Gene Expression,0.4488490964662885,0.0,0.0,34742,15.428635373873899,1442
ENSG00000113140,SPARC,Gene Expression,0.44834978008441556,0.0,0.0,111229,94.59107629644447,1644
ENSG00000111775,COX6A1,Gene Expression,0.44645923507142815,0.0,0.0,22033,9.33340306094602,1372
ENSG00000120885,CLU,Gene Expression,0.44632535961163544,0.0,0.0,75709,34.20005307540815,1544
ENSG00000184357,HIST1H1B,Gene Expression,0.4459507655322277,0.0,0.0,16336,7.16268756490054,1323
ENSG00000142949,PTPRF,Gene Expression,0.44517452364393567,0.0,0.0,20212,8.872850665975074,1360
ENSG00000119888,EPCAM,Gene Expression,0.44493676909396596,0.0,0.0,11921,5.110579550478164,1265
ENSG00000141527,CARD14,Gene Expression,0.4449036802084516,0.0,0.0,19742,8.844164776821712,1360
ENSG00000214530,STARD10,Gene Expression,0.44466681777713085,0.0,0.0,41029,19.06099559290868,1498
ENSG00000177106,EPS8L2,Gene Expression,0.44464274941044946,0.0,0.0,41869,19.57043268273905,1473
ENSG00000246705,H2AFJ,Gene Expression,0.44459214266798164,0.0,0.0,53250,24.074805328816993,1531
ENSG00000151322,NPAS3,Gene Expression,0.4445152518752326,0.0,0.0,4414,1.962459943784119,958
