"GO Term ID","GO Term Description","Adjusted p-value","Genes"
"GO:0042102","positive regulation of T cell proliferation",0.0415898456639335,"IL1A"
"GO:0009408","response to heat",0.0415898456639335,"IL1A"
"GO:0003333","amino acid transmembrane transport",0.0415898456639335,"SLC6A13"
"GO:0032760","positive regulation of tumor necrosis factor production",0.0415898456639335,"IL1A"
"GO:1990266","neutrophil migration",0.0415898456639335,"IL1A"
"GO:0002526","acute inflammatory response",0.0415898456639335,"IL1A"
"GO:0019218","regulation of steroid metabolic process",0.0415898456639335,"IL1A"
"GO:1903557","positive regulation of tumor necrosis factor superfamily cytokine production",0.0417986975644333,"IL1A"
"GO:1905954","positive regulation of lipid localization",0.0417986975644333,"IL1A"
"GO:0015908","fatty acid transport",0.0437971285849006,"IL1A"
"GO:0007088","regulation of mitotic nuclear division",0.0437971285849006,"IL1A"
"GO:0045834","positive regulation of lipid metabolic process",0.047253543378748,"IL1A"
"GO:0046328","regulation of JNK cascade",0.0493383698336368,"IL1A"
"GO:0010212","response to ionizing radiation",0.0493383698336368,"IL1A"
"GO:0050671","positive regulation of lymphocyte proliferation",0.0493383698336368,"IL1A"
"GO:0032946","positive regulation of mononuclear cell proliferation",0.0493383698336368,"IL1A"
"GO:0050714","positive regulation of protein secretion",0.0493383698336368,"IL1A"
"GO:0008584","male gonad development",0.0493383698336368,"IL1A"
"GO:0051783","regulation of nuclear division",0.0493383698336368,"IL1A"
"GO:0002687","positive regulation of leukocyte migration",0.0493383698336368,"IL1A"
"GO:0046546","development of primary male sexual characteristics",0.0493383698336368,"IL1A"
"GO:0032368","regulation of lipid transport",0.0493383698336368,"IL1A"
"GO:0097530","granulocyte migration",0.0493383698336368,"IL1A"
"GO:1905039","carboxylic acid transmembrane transport",0.0493383698336368,"SLC6A13"
"GO:0007030","Golgi organization",0.0493383698336368,"GOLGA8Q"
"GO:1903825","organic acid transmembrane transport",0.0493383698336368,"SLC6A13"
"GO:2001236","regulation of extrinsic apoptotic signaling pathway",0.0493383698336368,"IL1A"
"GO:0006865","amino acid transport",0.0493383698336368,"SLC6A13"
"GO:0070665","positive regulation of leukocyte proliferation",0.0493383698336368,"IL1A"
"GO:0007584","response to nutrient",0.0493383698336368,"IL1A"
"GO:0030856","regulation of epithelial cell differentiation",0.0493383698336368,"IL1A"
"GO:0046661","male sex differentiation",0.0493383698336368,"IL1A"
"GO:0009266","response to temperature stimulus",0.0493383698336368,"IL1A"
"GO:0007254","JNK cascade",0.0493383698336368,"IL1A"
"GO:0032635","interleukin-6 production",0.0493383698336368,"IL1A"
"GO:0032675","regulation of interleukin-6 production",0.0493383698336368,"IL1A"
"GO:0030216","keratinocyte differentiation",0.0493383698336368,"IL1A"
"GO:0042129","regulation of T cell proliferation",0.0493383698336368,"IL1A"
"GO:0001659","temperature homeostasis",0.0493383698336368,"IL1A"
"GO:0032640","tumor necrosis factor production",0.0493383698336368,"IL1A"
"GO:0032680","regulation of tumor necrosis factor production",0.0493383698336368,"IL1A"
"GO:0035725","sodium ion transmembrane transport",0.0493383698336368,"SLC6A13"
"GO:1905952","regulation of lipid localization",0.0493383698336368,"IL1A"
"GO:0045766","positive regulation of angiogenesis",0.0493383698336368,"IL1A"
"GO:0051302","regulation of cell division",0.0493383698336368,"IL1A"
"GO:0006694","steroid biosynthetic process",0.0493383698336368,"IL1A"
"GO:0048771","tissue remodeling",0.0493383698336368,"IL1A"
"GO:1904018","positive regulation of vasculature development",0.0493383698336368,"IL1A"
"GO:0071706","tumor necrosis factor superfamily cytokine production",0.0493383698336368,"IL1A"
"GO:1903555","regulation of tumor necrosis factor superfamily cytokine production",0.0493383698336368,"IL1A"
"GO:0046890","regulation of lipid biosynthetic process",0.04960983553596,"IL1A"
"GO:0070374","positive regulation of ERK1 and ERK2 cascade",0.04960983553596,"IL1A"
"GO:0000302","response to reactive oxygen species",0.0499897577121251,"IL1A"
